tablespoon	measuring
bomb	exploding
listening	communicating
brush	brush
oboe	fun
alley	garages
sunglasses	protection
surfing	adventure
chain	decoration
grid	graph
penny	paying
tub	bathing
pickle	eating
poem	romance
remembering	knowing
voice	shout
muscle	constricting
tool	making
temple	religion
painting	relaxation
billfold	money
contemplating	analysis
compact	drive
game	fun
mouth	kissing
tin	storage
childhhood	playing
foot	kicking
attribute	describing
head	beginning
machine	write
punishing	education
success	reward
talking	gossip
key	locking
army	wars
bycicle	drive
handlbe	gripping
nose	breaking
competing	excelling
lawn	sunbathing
weapon	protection
arrow	wound
reproducing	reproduction
street	traveling
ranch	livestock
mat	judo
sky	sun
lantern	illumination
alley	walk
pool	join
film	negative
ottoman	relaxing
map	weak
medicine	healthy
title	book
university	research
head	think
number	math
condo	selling
bullet	shooting
call	contact
church	sing
hotel	sleep
instrument	playing
phone	communication
soundstage	cameramen
alto	singing
desk	work
earring	vanity
tearoom	socializing
cotton	sewing
council	judgement
kite	hobby
parkway	trasnportation
thanking	communication
getting	everyone
light	reading
puzzle	distraction
snowflake	snowpeople
needle	sew
tooth	cavities
copulating	domination
luggage	carrying
wrestling	children
banjo	music
key	close
lying	averting
sofabed	guests
text	teaching
bolt	fasten
drawer	organization
bean	growing
book	research
disk	throw
scrapbook	remembering
sale	marketing
corn	baking
sky	rain
alcoholics	alcohol
minister	people
resting	relaxation
surface	painting
curtain	curtain
clippers	cut
poet	rhyming
yoyo	play
cave	hide
detector	response
hammer	smiting
meat	clothing
nightclub	partying
keyboard	work
stylus	drawing
necklace	jewelry
puck	hit
airplane	flying
swimming	exersize
photograph	memories
aisle	passagewy
bicycle	transportation
judging	evaluation
knife	wounding
box	storage
basket	storing
baritone	saxing
fax	communicating
ink	printing
store	purchase
book	inspiration
union	represent
vehicle	mobility
living	healthy
ambulance	drive
wire	fastener
shower	wash
cup	trophy
wings	flapping
bathing	relaxation
stadium	games
frisbee	park
projectile	games
cream	person
world	exploring
wheel	rolling
vinyl	produce
leader	follow
luggage	packing
calculator	arithmetic
carpeting	warmth
wine	drinking
machine	vacuum
shore	meditation
muscle	extension
running	escaping
junkies	heroin
baseball	games
temple	beauty
school	education
gymnasium	gymnastics
stairwell	ascend
basket	buying
communicating	education
candle	decoration
baggage	travelling
townhouse	decorating
smoothie	drinking
heart	empathize
card	christmas
smoking	habit
pebble	toss
word	insult
townhouse	government
wrestling	entertainment
writing	pleasure
arena	fight
carpeting	utility
canal	division
painting	refurbishing
parlor	visiting
diamond	ever
keys	unlocking
bureau	drawers
bathroom	shaving
container	containing
shirt	advertisement
thinking	predicting
boat	recreation
club	club
playing	relaxing
hoist	li
money	buying
sea	swim
soap	bathing
brick	construct
leader	followers
salt	seasoning
money	rich
baggage	travel
mailbox	mail
performing	musicians
painting	aesthetics
sound	annoy
soundstage	performing
head	thinking
breathing	life
kingdom	government
cloth	patch
killing	crime
mirror	spectator
elevator	hoist
surfing	surfers
basketball	bounc
ship	voyage
apparatus	serve
field	walking
marijuana	pleasure
arrow	fly
wood	boats
cupboard	dishes
game	learning
bomber	kill
clip	bind
letter	alphabet
hair	shampooing
ferry	transportation
reading	knowing
skating	hockey
flask	wine
kissing	fun
child	fun
lip	whistling
mechanism	help
shoes	worn
thinking	reason
machine	survey
skiing	recreation
swimming	competition
finger	poke
tool	using
soprano	description
corn	nutrition
wing	airplanes
eye	blinking
algorithm	software
staircase	exercise
illness	rest
attic	storage
bath	relaxing
headlock	fighting
violin	entertaining
needle	embroider
snoring	sleeping
writing	authors
scalpel	cut
delicatessen	lunchmeat
bag	hold
bed	hold
ottoman	sit
tickling	bugging
knives	cook
piece	fix
basket	selling
tv	learning
sword	killing
metronome	time
movie	entertainment
pain	persuade
accordion	music
meat	food
temple	togetherness
exit	exiting
minibar	partying
bowl	wheaties
cover	modesty
entranceway	looks
sofa	people
boat	floating
food	nourishment
tile	decoration
pistol	aim
pistol	scaring
amphitheatre	fun
file	form
roads	traffic
communicating	understanding
computer	communication
segway	transportation
diving	cover
drinking	enjoyment
knife	coring
terrace	barbeque
chair	sitting
sign	display
yacht	transport
jar	storage
painting	expression
motel	travelers
garage	mechanic
mine	explosion
flute	music
living	loving
voice	sing
folder	organizing
book	companionship
marble	game
trash	disposal
army	protection
apartment	owning
candle	illumination
tickling	play
card	introducing
cellar	basement
bow	shoot
auditorium	assembly
bell	toll
plain	farmland
reading	entertainment
science	chemistry
tree	aesthetics
lobby	elevators
resting	stopping
skylight	ceiling
skiing	excitement
reproducing	improvement
walking	relaxation
classroom	teach
lawn	admiring
communicating	socialising
marker	write
performing	artistes
water	drink
foot	movement
reading	enjoyment
candle	decorations
condom	protection
alarm	alert
telephone	communication
sword	ceremony
bread	toasting
poisons	kill
queen	king
candle	light
copulating	lovers
listening	knowing
car	drive
frisbee	catching
scissors	cutting
sofabed	sitting
mound	baseball
surfing	entertainment
bench	seat
eye	winking
pouch	jewels
bowl	apples
elevator	raise
hole	screws
cloud	thunder
fortune	spending
scissors	ribbon
remembering	recalling
bleach	cleaning
cam	climbing
ball	tennis
grocer	supply
remembering	memory
kangaroos	jumping
cigarette	burning
eye	perceiving
painting	recreation
pub	socialising
candle	luminosity
painting	finishing
sheep	shearing
traveling	education
explosive	destruction
book	help
driveway	truck
notepad	sketching
eating	sustenance
handcuffs	restrain
writing	information
mug	coffee
baseball	playing
locomotive	work
snow	weather
hand	mastrubate
laser	fun
lamp	illumination
basket	carrying
copulating	enjoyment
kissing	remembering
surfing	activity
rug	decoration
ball	bearing
hall	entertain
pulpit	bully
ceiling	painting
rule	guide
flour	cakes
flash	light
minibar	drinking
ball	game
punching	hurt
stone	measuring
eye	learning
research	learning
tickling	elmo
scalpel	cutting
diving	relaxation
statue	display
prostitute	sex
knob	pulling
government	management
dustbin	garbage
silicone	varnishes
lake	fishing
aquarium	fish
party	birthday
piece	puzzle
stage	performance
thinking	articulating
binder	organize
gas	heating
tickling	flirting
machine	excavate
keyboard	typing
highlighter	hilighting
getting	obtaining
egg	throwing
lips	tasting
name	labelling
aquarium	hold
cellar	wine
membrane	separate
boulevard	strolling
movies	entertain
rifle	shooting
saddle	donkey
egg	nurturing
restaurant	dinner
doctors	illness
knife	disect
bullet	hunting
machinery	perform
machine	function
saddle	horse
sign	advertisments
wheelchair	mobility
diaphragm	birthcontrol
altar	worship
animal	beastiality
playing	exercise
isle	walking
soap	cleaning
whisky	drinking
bat	swinging
drum	music
learning	advancing
playroom	fun
dish	hold
jeans	clothing
house	residency
jewelry	adornment
ranch	ranching
sleeping	rejuvination
monocle	seeing
bell	bludgeoning
curb	gutter
foot	standing
guitar	sound
fencing	entertainment
exercising	training
bowl	serve
pad	cushion
bus	transportation
thruway	travel
thinking	solving
yard	storage
door	passage
net	volleyball
bow	play
counter	wiping
warehouse	storage
cabinets	storage
furniture	furnish
leader	leading
person	holding
student	help
performance	art
cards	play
archway	support
car	transport
jail	punishment
aircraft	fly
running	speed
surfing	pleasure
kissing	friendship
show	wearing
lens	eyeglasses
corn	growing
ball	inflating
driveway	car
prince	princess
seat	resting
sock	comfort
soul	life
thinking	survival
title	information
dancing	performance
cave	exploration
den	resting
sofa	fucking
cheque	repayment
painting	pastime
pulpit	preacher
bread	eating
silver	candlesticks
key	opening
buying	owning
curb	street
kettle	boil
shirt	uniformity
mandala	meditate
site	laughing
machine	plow
banjo	holding
dog	safty
stone	tossing
triggerlock	security
cake	gift
chalk	writing
machine	cremate
plastic	toys
dish	scan
poem	communicating
diving	pearls
diving	pleasure
fountain	admiring
mast	climbing
school	learning
ottoman	decoration
sleeping	recovering
porch	relaxing
meat	eat
game	playinh
bed	napping
bathtub	bathe
sofa	relaxing
microphone	amplification
street	travel
lock	protecting
moisturizers	hydrate
wing	flying
book	solutions
party	recreation
dish	cooking
drinking	intoxication
utensils	writing
rocketship	travel
meat	butchering
denim	jackets
living	existing
playing	fun
house	protection
decanter	wine
barbecue	families
bucket	hold
machine	dig
tooth	frightening
wool	sweaters
card	birthday
banjo	playing
highway	moving
revolver	robbery
note	tempo
box	hold
lying	manipulating
tape	tape
batten	defense
duster	dusting
game	amusement
machine	filter
border	accent
airplane	travel
oil	cars
flash	flash
rifle	hunting
nylon	coverings
thinking	reasoning
sheet	sleeping
poem	reading
cue	billiards
discothque	drinking
link	join
mandolin	playing
vessel	piloting
churchyard	gather
pad	mouse
water	showering
gum	chewing
nylon	wear
story	reading
violin	creating
couch	comfort
bench	resting
president	leading
bay	sailing
soap	showering
cotton	thread
knife	filleting
show	entertain
knife	spreading
cigarette	relaxing
nose	face
rule	ruling
calculaters	math
lighter	burning
space	seperation
art	inspiration
map	information
elevator	transport
letter	post
celebrating	success
rifle	murder
traveling	anyone
bishop	religion
bullet	shoot
feather	tickle
rook	flying
beam	shine
needle	embroidery
bathroom	grooming
oil	oiling
blade	slit
cake	celebration
cake	cooking
library	reading
kissing	bonding
minister	ceremonies
ticket	enterance
bench	legislating
ring	finger
bass	fun
bathing	relaxing
ottoman	sitting
pretending	playing
lying	decieving
moon	observation
line	trace
box	seat
machine	kill
skiing	entertainment
minister	guidance
jogging	exercise
god	hope
motor	locomotion
violence	kill
clock	clock
snow	removal
lock	security
painting	tranquility
call	communicating
plate	decoration
shirt	dressing
pulpit	orate
knife	unraveling
film	record
land	farming
yoyo	spinning
swimming	enjoyment
tool	causing
competing	winning
wrestling	sport
handgun	killing
math	fun
piano	playing
theater	actors
food	energy
towel	wiping
stairway	ascent
mill	mill
gate	closing
cpr	resuscitation
kitchenette	cook
gong	king
resting	relaxing
castle	exploring
kitchen	cook
sofa	sleeping
forgiving	wimps
painting	artists
bomb	terrorism
mouth	talking
meat	protein
pill	medicine
dreaming	predicting
cloth	clothes
computer	learn
denim	paper
foot	jogging
isle	fishing
machine	fry
socialist	community
arena	compete
book	study
piano	teaching
piano	decoration
tile	flooring
quartz	rocks
diner	eat
literature	student
cash	flaunting
knife	loosening
resting	refreshment
satellite	spying
wood	fireplaces
role	purpose
sleeping	lazy
cup	drinking
desk	working
place	location
queen	people
fruit	eating
pebble	throwing
town	live
sewing	fun
spoons	eat
wrestling	pleasure
book	highlighting
canoe	paddling
machine	televise
id	identification
filter	filtrate
gel	lubrication
idolatry	worship
salt	season
cave	sleeping
meditation	relaxation
square	measurement
basketball	dribbling
cooking	chefs
contralto	sing
lobby	entry
mineral	geology
beanbag	lazyness
handcart	haul
knife	mashing
isle	walk
fiddling	appliance
lantern	decoration
note	communication
handgun	mayhem
communicating	conversation
souvenir	remembering
bathroom	washing
house	pets
smoking	conversation
knife	cutting
wheat	food
alarm	ring
bread	nutrition
explosive	dig
file	organization
sidewalk	rollerblade
stylus	embossing
loft	sleeping
pool	swimming
talking	speech
fishing	relaxing
tub	soak
lisp	ai
cake	decorating
cloud	rain
book	learning
lip	protect
bassoon	orchestra
school	studying
mound	pitch
computers	work
cash	impress
foot	walking
island	swin
penny	spending
typewriter	labels
dynamite	explosions
pit	fighting
kissing	adults
staircase	climbing
praying	hope
baritone	music
lobby	talk
equipment	undertake
performance	entertainment
barbecue	holiday
blanketing	covering
ranch	vacation
stairwell	stairs
gun	fire
place	event
grenade	war
beanbag	a
story	teach
track	trains
motel	guests
match	ignite
reading	education
bench	sleeping
frisbee	beach
canvas	covering
literature	remembering
leash	lead
saxophone	jazz
stone	throwing
wire	shape
bicycle	riding
hiking	exercise
intersection	meet
knife	severing
pill	headaches
floor	walking
playing	relaxation
saddle	mule
pouch	joey
rosemary	remembrance
railing	protection
theatre	movies
book	gambling
street	driving
playing	teaching
factory	manufacturing
game	observing
razor	sucide
diving	exploration
balloon	decoration
armchair	sitting
pulpit	talking
hiking	excercize
bicycle	racing
razor	carving
tree	oxygen
soprano	jazz
meat	buying
refrigerator	refrigerating
rifle	hunt
mineral	nutrition
island	vacation
string	tie
wheel	turning
garbage	disposal
suitcase	packing
money	needs
yacht	race
merchant	selling
jogging	yuppies
lips	speak
denim	clothes
music	enlightenment
mug	drinks
ocean	diving
killing	murdering
copulating	excercise
pad	write
resting	rejuvenation
cat	pet
bishop	kill
city	protection
judging	christians
motorway	transport
shopping	fun
terrace	decoration
machine	steer
basketball	bouncing
knife	hacking
playing	everyone
bidet	washing
sponge	cleaning
knife	nicking
buffet	dessert
link	connect
triangle	trigonometry
row	propulsion
tap	beer
hill	sledding
resting	recuperating
tooth	sawing
metal	casting
finger	tickle
country	order
bean	eating
ring	jelwellery
punishing	justice
arena	sports
ring	symbolism
lamp	reading
soldier	war
prince	royalty
garden	decoration
analysing	studying
sand	sandcastles
gas	balloons
divider	divide
bolt	screw
laser	measuring
silicone	entertainment
soul	inspire
fabric	fibreglass
brownstone	residing
box	stacking
line	decorate
lips	communicate
shadow	cooling
key	unlock
makeup	cover
finger	counting
ribbon	tying
tickling	teasing
machine	phone
dreaming	visualizing
amphitheatre	performances
drum	hitting
ruler	measuring
doll	collecting
drinking	hydration
sausage	food
razor	cutting
accommodation	stay
killing	murderers
grenade	killing
solicitor	litigation
folder	storage
violence	terrorism
movie	enjoying
billboard	advertisment
climbing	fun
altar	pray
club	dance
computers	dorks
singing	enjoyment
wound	healing
pool	relax
chapel	meditating
pet	companionship
herringbone	jab
piece	assemble
dustbin	trash
wine	relaxing
rug	cover
book	reports
diner	eating
queen	chess
remembering	thinking
cinema	entertainment
needles	sewing
reading	enlightenment
book	uplift
makeup	wearer
key	lock
lion	safari
note	remembering
machine	vote
baseball	catching
bullet	projectile
deli	eating
keyboard	coding
pouch	cover
prince	england
bell	calling
boats	fishing
diamond	drill
linen	drying
pulpit	preach
foot	measuring
relaxing	stressed
ribbon	fashion
stool	milking
star	guidance
doorway	entry
knife	butchering
garbage	recycling
coffin	coffin
mitt	catching
classroom	participating
ocean	fish
paper	notes
scissors	cut
stamp	postage
land	hunting
statue	symbolize
machinery	function
chalk	mark
bomb	destruction
couch	sex
wheat	flour
dancing	people
space	item
arrow	pierce
woods	hiking
canoe	boating
silicone	lubricants
population	consumption
college	learning
vessel	shipping
stylus	pointing
listening	helping
turnpike	turning
blowdryer	drying
bedroom	privacy
carpeting	comfort
niece	babysitting
cheque	bills
lying	liars
accommodations	sleeping
living	eating
courtyard	sit
linen	material
people	talk
dreaming	yukon
performing	acting
shelf	books
chapel	christians
note	rhythm
nightclub	parties
mill	crush
cake	serving
hiking	campers
procreating	pleasure
coast	beaches
engine	power
flask	liquids
drill	hole
churchyard	graves
instrument	music
pretending	actors
bar	protect
drug	taking
shore	swim
thanking	courtesy
bathing	pleasure
fruit	garnish
spa	recreating
suicide	death
ocean	swimming
thread	sewing
seat	hit
playing	gamers
skyscraper	elevators
fountain	decoration
hotel	rest
light	seeing
fork	eat
file	shape
linen	washing
relaxing	break
canal	irrigation
statement	exposition
wetsuit	scuba
entryway	enter
ink	coloring
cord	binding
legs	running
teacher	answers
house	sell
brain	thinking
heart	breaking
poem	class
liquids	drinking
farecard	pay
chapel	worshipping
roof	covering
wall	wail
jogging	toning
marble	shoot
mezzanine	balcony
helmets	protection
head	hat
wheat	cake
projectile	shoot
airbag	safety
flirting	reproduction
board	building
doormat	decoration
puzzle	solving
cloth	dusting
penny	collecting
robot	nyantai
name	identifying
wing	flapping
bbq	cooking
leaf	shade
reproducing	distributing
ambulance	rush
animal	pet
candle	bruning
eye	seing
altar	church
string	guitar
viola	playing
foot	walk
stool	working
cottage	living
ball	bearings
church	prayer
punching	hurting
cafe	dinner
books	entertain
senior	memories
memory	function
mezzanine	intermission
breathing	survive
bowl	soup
kite	entertainment
level	leveling
classroom	experimenting
grid	plot
key	open
earth	living
hat	shade
museum	education
wings	glide
sofabed	sleep
icebox	drinks
machine	help
nail	scratching
plane	fly
swallowing	drinking
barroom	serve
brush	paint
tv	entertainment
farting	laughs
tub	baths
excavation	mining
gun	shot
chapel	meditation
checkbook	paying
coil	wire
trash	recycle
drinking	pleasure
pond	swimming
car	mobility
hair	braiding
bell	ringing
leg	motility
bus	traveling
discothque	relax
playing	children
pen	drawing
mast	sail
tearoom	conversation
child	comfort
pencil	doodling
binder	papers
shareholder	financing
apartment	enter
balloon	popping
garage	cars
nylon	sewing
tablespoon	stirring
tile	wall
body	move
projectile	injuring
lips	flapping
lane	driving
eating	hunger
learning	improving
robot	companionship
killing	harm
party	celebration
hat	stylish
voyage	travel
lake	boating
doctor	heal
beanbag	juggling
guns	kill
literature	studying
sofabed	sleeping
procreating	sex
mind	thinking
vinyl	records
mansion	governor
taxiway	airplane
walking	health
lantern	light
teaspoon	stiring
hair	cutting
river	boating
finger	soothing
attic	trunks
buying	comsumption
house	investment
armoire	clother
glasses	see
literature	teacher
lying	cheating
pad	paper
passage	description
people	population
skating	pleasure
tooth	gripping
book	instruction
passion	romance
reproducing	cloning
brook	fishing
tool	altering
blade	cut
living	enjoying
yoyo	enjoyment
candle	ambiance
pool	diving
tree	beauty
cane	hold
farmhouse	living
piano	entertainment
tool	adjusting
leather	whips
thinking	dogs
wings	fly
stapler	stapling
killing	fun
sand	sandboxes
walking	fun
pistol	killing
water	hydration
dish	serve
entertaining	pleasure
leather	shoes
seat	waiting
dildo	fucking
council	talking
traveling	business
tile	build
show	education
robot	help
guitar	teach
muscle	walking
defibrilator	resuscitation
river	recreation
ice	drink
wheat	harvesting
tile	covering
den	animals
climbing	exercising
saloon	socializing
nuns	poverty
puzzle	play
building	shelter
student	classroom
sign	telling
machine	grind
poison	kill
climbing	enjoyment
ball	throwing
role	act
theatre	plays
duvet	sleeping
denim	jeans
studying	understanding
arena	competitions
turnstile	admissions
chopsticks	eat
cave	archeology
diving	competition
bread	pudding
dying	mortals
cleaning	hygiene
saloon	drink
study	reading
water	drinking
lion	entertain
silicone	lubricate
bed	reading
computer	compute
corn	eating
feather	decoration
beer	drinking
leader	group
mat	protect
performing	accomplishing
people	humanity
handle	manipulate
love	giving
society	survival
punishing	vindictive
society	cooperation
skiing	winter
minister	facilitate
highway	cars
desk	drafting
auditorium	performances
candle	heat
lips	smoking
clock	decoration
fiddling	fun
sleeping	recuperating
contemplating	introspection
island	vacations
tap	signalling
tapestry	decorate
projectile	killing
volume	research
wine	selling
sky	breathing
neck	kissing
wings	soaring
refill	softdrinks
home	family
clay	sculpting
friend	loving
battle	fighting
university	teaching
mechanism	perform
library	research
village	sleeping
killing	animals
sofabed	comfort
pens	wrtie
population	study
thinking	being
tooth	grinding
killing	war
classroom	classes
verb	discription
party	relaxing
mechanism	function
heart	persistence
viola	enjoyment
cigarette	smoke
killing	contract
chapel	prayer
grid	computing
cloth	bedding
breathing	survival
finger	warn
bass	eat
basketball	throwing
lake	diving
mouth	eating
seat	kick
tickling	fun
rhetoric	persuasion
shirt	wearing
fencing	competition
home	dwelling
razor	shave
relaxing	resting
pickle	garnish
auditorium	lectures
blade	cutting
gas	exploding
machine	glaze
shed	storage
dancing	ballerinas
tickling	humor
blowtorch	welding
book	learn
makeup	enhance
bowl	cereal
spade	digging
performing	attention
island	relax
pans	cooking
university	study
water	cleaning
memorising	recital
mine	explode
coal	energy
storm	thundering
album	play
curtain	obstruct
cake	celebrate
war	intimidate
success	feeling
silver	jewelry
harmonica	humming
cloud	snow
soundstage	recording
ocean	relaxing
toilet	pooping
food	eat
hat	decoration
rifle	killing
penny	luck
drill	whistle
ring	engage
garden	relax
needle	repair
linen	tablecloth
puzzle	entertaintment
office	working
backdrop	photography
sign	identification
ball	kicking
wire	fasten
garden	greenthumb
tooth	fillings
system	efficiency
island	isolation
neckwear	adornment
thanking	politeness
duplex	families
soap	washing
edinburgh	tourism
wood	building
pretending	acting
linoleum	bathrooms
thinking	synchronizing
people	socializing
people	play
