tablespoon	measuring
bike	riding
tv	advertising
horse	riding
show	fun
story	writing
courtyard	garden
woodwind	play
jar	jar
minister	teach
exercising	fun
fencing	defense
jar	pickles
egg	cooking
studying	remembering
fencing	competiton
toothpick	chewing
court	trials
airplane	transportation
dancing	exercise
wrestling	exercise
aisle	pathway
writing	relaxation
necklace	choke
cash	hoarding
comb	hair
minister	praying
ocean	fishing
copulating	orgasms
film	foil
board	erasing
book	studying
highway	transportation
frisbee	recreation
fishing	competition
prince	honor
sofa	relax
tooth	splitting
computer	homework
bureau	clothing
vessel	navigate
minibar	drink
boat	launching
confetti	celebrating
relaxing	enjoyment
singing	entertainment
study	read
killing	eating
procreating	multiplying
candle	romance
landmark	noticing
toilet	waste
silk	bedsheets
spoon	flinging
learning	growing
stall	read
mug	drinking
bathroom	oblutions
mill	crunch
sky	dream
backyard	playing
runway	airshows
saucer	flying
landmark	viewing
canoe	recreation
art	everyone
wheel	turn
forgiving	compassion
island	gilligan
courtroom	trials
computer	arithmetic
intuition	create
mouth	wistling
weapon	defence
diving	investigating
literature	teaching
lake	fish
science	mathmatics
tub	soaking
skiing	competition
cleaners	dirt
movie	fun
doll	play
road	cross
holdall	luggage
pub	drinking
home	relax
cow	milking
harmonica	humor
fruit	eat
reading	relaxation
slave	working
bedroom	decorating
washcloth	bathing
castanets	dancing
net	containment
muscle	lifting
cream	humidify
running	sport
surfing	surfists
knife	trimming
arrow	target
mac	play
spa	relax
waypoint	navigation
balloon	party
sky	daydreaming
student	university
boat	rowing
sword	fencing
paper	advertising
turnpike	transportation
dreaming	fun
restaurant	eat
snow	christmas
knife	opening
passport	identification
frisbee	play
pool	bathing
refill	orders
airport	airplanes
necklace	vanity
moon	exploration
apple	munching
clock	people
hill	climb
snakes	biting
motorcycle	transportation
cctv	evidence
island	inhabit
reading	pleasure
text	reflection
map	navigating
church	christenings
stadium	running
learning	preparation
staircase	climb
oil	lubricate
seat	comfort
motherboard	electronics
refill	coffee
rug	insulate
space	parking
knife	splitting
viola	music
nose	breathing
clip	holding
garbage	waste
planet	living
radio	communication
corn	planting
glasses	reading
rod	hit
carpet	decoration
oven	burn
backyard	barbecue
string	violin
success	standard
ticket	documentation
mine	destroy
studying	reflection
horn	tooting
album	music
laser	cut
spirit	healing
bowl	hold
farmland	farms
kissing	closeness
whips	discipline
eye	reading
canal	travel
cloth	clean
counter	store
led	electronics
relaxing	unemployed
barbecue	summertime
monument	memorial
tool	building
cleaning	cleanliness
street	transportation
bathroom	primping
ear	earing
river	irrigation
boat	travel
crown	crown
lobby	loiter
space	filling
room	comfort
vehicle	travel
diamond	giving
machine	staple
machine	calculate
memorising	fun
socialising	networking
laser	accuracy
passageway	travel
resting	peace
poem	enlightenment
skating	enjoyment
kettle	water
reproducing	procreating
token	representation
saxophone	band
rock	mining
wheel	tires
basketball	passing
envelope	protect
tool	assisting
gas	fuel
hole	attach
candles	atmosphere
bed	convalesing
accelerator	accelerate
mine	detonate
home	sleep
voice	recording
soldier	killing
stairs	exersice
plastic	make
entertaining	entertainers
wheel	machinery
revolver	firing
trampoline	exercise
detergent	cleaning
buffet	breakfast
billboard	advertisement
ranches	cattle
skipping	exercise
pistol	compete
toilet	poop
celebrating	victory
freeway	travel
motel	resting
barbecue	cook
internet	stalk
judging	judges
cleaning	organization
computer	automation
mirror	reflection
tree	decoration
bag	wearer
mango	salsa
meat	fuel
churchyard	contemplation
motherboard	computers
resting	thinking
judging	justice
necklace	show
balloon	fly
names	identification
art	people
blanket	warmth
painting	leisure
people	worship
porch	socializing
neckwear	adorement
clonazepam	anxiety
knife	parting
ear	adornment
rock	hurling
surface	counter
gold	jewellry
internet	communicate
lying	cheats
chesspiece	winning
cleaning	tidiness
airplanes	travel
mayor	direction
highlighter	studying
vessel	float
chapel	sanctuary
market	shopping
graveyard	flowers
education	learning
doll	fun
snow	children
bookend	books
condom	sex
heat	cooking
coil	hose
arena	gatherings
drawer	store
classroom	teaching
jar	hold
moslems	prayer
kitchenette	cooking
sign	directions
channel	boating
helicopter	transport
soaps	clean
village	playing
tile	bathroom
violin	entertainment
thinking	ai
airplane	flight
science	discovery
door	enter
computer	writing
hall	dancing
piano	listening
secretary	correspondence
stream	bathing
cargo	transport
gymnasium	sports
eye	staring
church	funerals
bidet	hygene
try	attempt
teakettle	whistling
arena	meeting
television	watching
disease	power
butter	flavoring
chair	resting
cheque	buy
machine	entertain
bone	support
yacht	sail
yard	measuring
silk	fingernails
writing	education
steamer	cooking
lock	lock
bread	buttering
school	classes
quill	writing
textbook	learning
room	resting
linen	wearing
grooming	dogs
chest	belongings
delicatessen	sandwiches
church	practice
hair	washing
sleeping	rejuvenating
dancing	fun
equipment	work
pike	poke
needlepoint	relax
armoire	clothes
sky	raining
apple	pie
jogging	entertainment
bass	catching
celebrating	completion
cloth	washing
lens	telescope
auditorium	sing
toothbrush	teeth
reading	learning
try	do
toilet	urinate
disco	dancing
trumpet	fanfare
weapon	attacking
hairbrush	hygeine
future	grow
studying	contemplation
cash	shopping
drugs	medicate
injury	accident
necklace	decorate
kite	playing
tooth	eating
armchair	relaxing
violin	music
child	innocence
music	pleasure
refill	prescriptions
broom	sweep
contralto	singing
page	writing
cushion	comfort
cave	hibernating
jogging	health
ball	rolling
pebble	looking
comforter	babies
pill	headache
pencil	writing
freeway	free
soap	entertainment
dancing	performing
drum	banging
pouch	carry
room	sleep
avenue	travel
brook	babbling
building	inhabitants
punishing	hurting
traveling	enjoyment
arrow	hit
bricks	building
island	recreation
pool	resting
reading	research
king	ruling
lightbulbs	illuminate
cheque	shopping
clip	poodles
life	living
skiing	pleasure
water	bathing
archway	accentuate
entranceway	enter
diving	recreation
fiddling	masterbation
map	navigate
sidewalk	surfing
college	phds
alarm	alarm
punching	revenge
oil	trucks
lights	illuminate
carpet	shampooing
barbecue	dinner
painting	decorating
apple	dessert
food	eating
klonopin	anxiety
reproducing	replicating
tooth	ripping
hiking	health
towel	cleaning
newspapeer	learning
garden	relaxation
minibar	dancing
system	store
tooth	killing
arm	wave
playroom	entertainment
pistol	injuring
faith	worship
stage	plays
captain	leadership
card	deck
quartz	clocks
jewelry	decoration
island	refuge
church	serve
molecule	compounds
sky	fly
shower	relaxing
bar	separate
table	eat
shelf	storage
pencils	writing
gymnasium	classes
tool	work
typing	communication
john	defecating
saw	cut
sky	falling
praying	devout
mill	shaping
voice	communicating
arm	fulcrum
procreating	evolution
thinking	learning
explosive	blast
graveyard	dead
detector	sense
food	pleasure
hiking	fun
skylight	car
soundstage	directors
automobile	travelling
water	cooking
cake	mixing
drum	rhythm
bomb	terror
armchair	seat
lodgings	sleeping
stall	horse
gallery	art
folder	filing
highway	driving
fabric	curtains
brush	painting
wood	trees
book	resource
sex	pleasure
quill	calligraphy
light	light
altar	weddings
machine	incinerate
stall	horses
tweed	loosers
classroom	studying
stream	swim
connection	networks
writing	communicating
hoist	lift
detector	monitor
competing	athletes
island	fish
legs	run
pulpit	preaching
container	washing
mall	eating
canvas	tent
telephones	communication
cooking	relaxation
town	residense
motorway	drive
fabric	upholstery
book	culture
sword	wounding
sword	maiming
banjo	strumming
mall	shopping
hook	hook
lip	suck
science	geology
table	read
study	learning
mug	holding
learning	survival
tooth	masticating
performing	entertaining
lady	fuck
water	wash
microphone	amplify
island	swim
breathing	oxygen
lion	cartoon
mug	filling
auditorium	performing
performance	business
finger	point
apartment	renting
knife	slitting
sand	hourglasses
silk	nighties
soundstage	club
battery	power
hair	warmth
flies	swatting
saddle	riding
spectacles	spectator
contemplating	reflecting
pencil	breaking
show	relaxation
file	store
apartment	parties
kettle	hold
pistol	plink
plane	travel
copulating	fun
restaurant	drinking
diaphragm	breathing
fiddling	music
hammer	hammer
lying	nonsense
machine	measure
thoroughfare	travel
crossroads	turning
voice	remembering
socialising	friendship
cookies	eat
cymbal	percussion
loli	fun
knife	ripping
remembering	reminicing
theatre	demonstration
tub	cleaning
writing	fun
clavichord	playing
library	studying
reality	losers
thinking	deciding
laser	heat
confetti	celebrate
cotton	clothing
rock	kicking
show	entertainment
fireplace	fires
projectile	shooting
film	film
sun	gravity
farecard	traveling
bullet	murdering
cellphone	communication
text	learning
machine	work
harp	relaxation
hostel	sleeping
bagpipes	funerals
meat	marinating
ferry	ferry
note	harmony
fountain	drinking
cigars	enjoy
market	exchanging
reproducing	populating
bathing	washing
toy	playing
school	exercising
sign	orientation
walking	exercising
marijuana	fun
bat	baseball
class	learning
carpeting	insulation
frisbee	throwing
sword	kill
university	learning
trombone	music
hammer	pound
diving	exercise
map	locating
projectile	strike
competing	sports
salon	manicures
place	in
socialising	fun
intestine	digestion
means	goal
hammer	strike
skylight	lighting
studying	growing
bay	boating
bathtub	baths
soprano	harmony
chess	nerds
fiddle	dances
letter	marketing
line	save
river	canoeing
screw	turning
soundstage	actors
landmark	navigate
cogitating	planning
analysing	learning
cello	music
computer	working
paper	origami
getting	keeping
check	pay
pedestal	dictionaries
steak	cooking
string	cello
roadway	traveling
car	racing
bookshop	reading
cigarette	relaxation
sky	birds
stranger	greeting
bullet	kill
room	decorating
cloth	wiping
battery	run
hair	decoration
forgiving	happiness
thoroughfare	transportation
ribbon	adornment
puzzle	challenge
bleach	disinfecting
text	studying
spitting	pigs
file	organize
projectile	hurling
birthday	celebrating
glass	drinking
committee	plan
hat	begging
moisturizer	massages
mailbox	bills
attribute	describe
counter	bathroom
bus	transport
carpet	insulation
sword	stabbing
army	defense
contralto	fun
stage	bands
horn	blowing
walking	transportation
thinking	animals
buying	pleasure
table	dining
choker	decoration
celebrating	satisfaction
horn	communicating
knight	chess
bookshelf	plants
teaspoon	eating
karaoke	fun
machine	lubricate
analysing	describing
pocketknife	whittle
counter	kitchen
crayons	draw
gun	violence
vice	squeeze
chapel	worship
book	guidance
fencing	fun
freeway	cars
running	exersize
show	entertained
disco	dance
sofa	seat
time	think
gas	burping
memorising	learning
viola	entertainment
knowledge	cutting
lion	fable
copulating	animals
internet	research
lawn	weeding
clothes	wearing
basket	yarn
competing	sport
metronome	rhythm
skating	entertainment
canoe	fishing
title	describing
laser	pointing
membrane	protect
projectile	propelling
solicitor	conveyancing
river	swimming
box	store
curtain	darken
card	studying
minibar	beer
cogitating	pondering
hat	uniforms
wing	flight
listening	eavesdropping
clarinet	buying
chapel	praying
twitter	communication
mug	cleaning
cafe	chat
dish	eat
computers	educate
mistake	learning
smoking	chimneys
clothes	dress
mouse	surfing
minibar	sliding
snowflake	sledding
polish	cleaning
office	work
mall	shop
spitting	rednecks
name	identification
tickling	annoying
fabric	rags
fabric	sewing
plumbing	indoors
fan	aerate
cheque	pay
punishing	wrathful
bicycle	entertainment
pistol	duel
snow	shovelling
tooth	tearing
meat	meals
alarm	warn
projectile	catching
battery	charge
stage	play
bread	tearing
marijuana	entertainment
fork	eating
mountain	climbing
dog	love
writing	communicate
rock	gravel
painting	growth
walking	children
stream	wash
token	payment
acrylic	paint
steak	eating
bungalow	living
counter	counting
dna	convict
wine	drink
hall	meetings
boat	watersports
car	people
shower	washing
door	exit
cloud	weather
spectacles	sight
tooth	griding
carafe	pour
baseball	hitting
contemplating	thinking
mill	grinding
firebomb	destuction
city	people
eyeglasses	see
pan	frying
rubber	erasing
earring	decoration
ceiling	cover
cot	sleeping
dollar	saving
fountain	bathing
knife	killing
captain	ship
singing	groups
pistol	shooting
typewriter	typing
world	live
dying	everyone
fur	trapping
well	wishing
getting	possessing
union	excuses
typing	writing
copulating	amusement
market	trading
thruway	driving
telephone	communicating
drum	beat
ship	sailing
handle	gripping
necklace	decoration
scenery	enjoying
satelite	communication
lubricant	lubricate
swimming	exercise
club	dancing
running	excercise
curtain	hide
wine	drinkin
restaurant	dining
freezer	storage
ink	drawing
role	playing
pew	kneeling
stupidity	idiots
apple	eating
facsimile	fax
prosthesis	mobility
den	relax
accommodations	comfort
grill	barbecuing
learning	interest
necklace	adornment
psychologist	counselling
pool	drown
literature	entertainment
cloth	polish
ocean	travel
storm	rain
celebrating	fun
canvas	painting
comb	combing
repetition	reinforce
nylon	parachutes
seat	relax
album	launch
roadway	cyclists
sand	sandblasting
tree	shade
surfing	exercise
steakhouse	date
success	sharing
lawn	barbeques
ledger	accounts
cooks	burns
surfing	sport
sewing	mending
meat	sale
thinking	resolving
astronauts	weightlessness
barn	cows
machine	lift
armoire	fight
motel	people
entranceway	entry
bath	hygiene
book	underlining
mandolin	entertain
punishing	retribution
saloon	fighting
saloon	socialising
highway	speeding
killing	maniacs
machine	seal
writing	entertainment
fingernails	scratch
letter	reading
bomb	kill
alley	bowling
condom	birthcontrol
learning	knowing
brake	fail
envelope	hold
weapon	hurt
silicone	bonding
milk	babies
movie	learn
townhouse	partying
uncle	fun
wings	furling
handgun	threat
club	beating
jeans	utility
killing	revenge
noise	alerting
watch	time
egg	food
box	packing
minister	marry
soldier	guard
thinking	organizing
knife	slashing
box	packaging
diving	fun
weapon	violence
learning	accomplishing
listening	understanding
priest	marry
mayor	govern
yacht	travel
salon	shampoos
saddle	ride
stage	drama
capital	business
hospital	surgery
notebook	writing
song	entertain
engine	work
john	pissing
bill	notification
soprano	song
penis	peeing
spirit	guidence
crutch	patient
harp	music
muscle	flexion
channel	swim
apartment	shelter
art	contemplation
manipulator	manipulate
graveyard	headstones
puzzle	enjoying
playing	pleasure
machine	broadcast
arch	support
fishing	dad
ring	decoration
chair	people
diamond	decoration
locomotive	motion
name	represent
pretending	deceiving
traveling	exploring
room	paint
accordion	fun
minister	preaching
spoon	drinking
mouth	blorking
village	learning
airplane	transport
reading	acculturation
snowflake	skiing
crutch	cripple
books	learn
bookcase	books
lying	deceipt
explosive	demolution
banjo	selling
boulevard	travel
thinking	robots
freeway	transportation
mall	walking
school	children
heater	heating
route	planning
house	entertaining
fingers	type
swimming	pleasure
text	analyzing
cloth	cleaning
john	flushing
stairs	climbing
contemplating	understanding
contemplating	cognition
singing	birds
muscle	eating
monument	remember
silk	shirts
aquarium	attract
clippers	trim
punishing	payback
john	pee
cigarette	burn
scenery	relax
mouth	drinking
sign	direction
milk	drinking
saw	cutting
computer	destructive
floor	walk
remembering	sadness
pill	vitamins
foot	dancing
shirt	covering
shirt	warmth
soldier	protection
theatre	events
firearm	killing
flannel	wear
train	riding
diamond	jewelry
buffet	food
fiberglass	insulation
sea	sailing
spirit	comradship
building	housing
trunk	storage
tweed	hats
busses	transportation
cafe	eating
package	hold
swimming	recreation
potato	eating
lock	close
facsimile	mail
machinery	work
banker	banking
chain	connect
forklift	lifting
school	learn
graveyard	mourners
passage	read
line	geometry
billboard	communication
theater	watching
arm	waving
dog	company
cave	hiding
skiing	thrills
cannabis	pleasure
communicating	negotiation
airplane	fly
call	telephoning
dreaming	fantasizing
makeup	change
knife	gashing
coin	spending
people	labor
road	travelers
canal	holidays
nightclub	toast
horse	breeding
calculator	add
cottage	housing
doorway	safety
gymnasium	excercise
jar	keep
knife	paring
spectacles	correct
doorbell	ring
basket	hold
computer	computing
diving	working
poem	writing
bass	eating
friend	sharing
playroom	children
wound	injury
sleeping	dreaming
performing	singing
bin	hold
bookshelf	photographs
cleaning	sanitation
file	polish
cake	eating
can	soda
knife	dividing
tree	climbing
lion	hunting
island	hide
sidewalk	pedestrians
ball	roll
beam	scan
bowl	grapes
knife	hollowing
nightclub	socialising
playing	socialising
sword	intimidating
fishing	sport
steakhouse	dinner
cogitating	thinking
creature	cuteness
seat	relaxing
arena	concerts
person	help
tree	nuts
salt	survival
playing	learning
smell	connect
pedestal	bibles
newspaper	reading
pouch	tobacco
pool	swiming
drill	bore
tool	build
accelerator	speed
mantra	meditate
alto	computation
stranger	fear
bus	trip
cash	pay
map	orienteering
stone	weight
hole	dirt
ocean	drinking
cloud	dreaming
track	running
computer	calculating
pencil	erasing
salon	makeovers
flat	music
sheet	bed
gel	hair
cotton	threading
hammer	hit
canvas	art
song	sing
cloud	hail
cloud	sleet
statement	sharing
kissing	foreplay
tree	refuge
skin	expire
slave	labor
land	roaming
brook	life
curtain	blind
tenor	sing
pillowcase	decoration
talking	communication
aquarium	house
tree	fruit
punishing	authoritarian
box	carry
key	encryption
line	arrange
leg	humping
leg	stand
socialising	parties
bag	traveler
whining	babies
working	producing
text	study
thinking	people
fruit	cooking
den	hibernating
helping	status
vinyl	wearing
bar	relaxing
muscle	walk
wrestling	amusment
reading	fun
imodium	diarrhoea
superhighway	driving
fire	cook
bullet	wounding
living	enjoyment
statue	imortalize
clothing	advertise
whore	sex
cloud	shade
clarinet	playing
fiddle	bowing
whips	hit
home	shelter
learning	maturing
cannon	battle
lamp	light
harpsichord	music
lying	harming
celebrating	winning
people	work
copulating	procreating
pit	trap
castle	fun
labeler	identification
gallery	exibition
cafe	relaxing
oil	car
necklace	gifts
monument	decoration
line	pickup
fireplace	warmth
sword	sticking
teaspoon	measuring
highway	travel
thinking	deliberating
inference	understanding
machine	perform
tearoom	gossiping
moon	tides
stranger	avoiding
rifle	protection
quartz	watches
kissing	symbolism
knife	piercing
cotton	bedding
leather	tanning
kissing	affection
motorcycle	rush
boulevard	city
literature	learning
shirts	wearing
ears	hearing
bread	consumption
health	everyone
album	hearer
gold	jewelry
toilet	shitting
linoleum	kitchens
net	fishing
bureau	storage
magazines	reading
paper	communication
link	connection
stick	support
brains	think
bay	polluting
buying	consumption
castanets	rythym
horn	honking
notepad	doodling
sun	light
bomb	detonate
handle	lifting
track	races
skyscraper	cities
can	food
smoking	ham
wound	bleeding
relaxing	evening
surprising	shock
bank	robberies
confetti	throwing
clippers	race
couch	furniture
muscle	flexing
bean	cooking
arm	saluting
flirting	dating
magic	entertainment
fishing	relaxation
gymnastics	gymnasts
convicts	boredom
cigarette	smoking
feather	tickling
body	assist
explosive	war
material	making
surfing	thrills
eraser	erasing
typing	fun
knife	untangling
library	discovering
arena	fighting
basket	kittens
eye	looking
shampoo	hair
lens	microscope
platform	presentation
weapon	threatening
chain	secure
refill	soda
dollar	buying
gas	cooking
running	exercise
reception	celebrate
sonar	oceanography
horn	beeping
tongue	tasting
fishing	outdoorsmen
book	impressing
bullet	murder
pistol	train
wood	skis
skin	protectin
carpeting	decoration
weapon	hunting
weapons	threaten
pool	pee
club	beat
saw	sawing
light	sight
ink	marking
religion	weak
kingdom	rule
marker	coloring
page	reading
bureau	sachets
duvet	sleep
baritone	blowing
airplane	cargo
fireplace	decoration
jail	criminals
bicycle	excersize
feather	flight
mirror	reflect
pretending	lying
bleach	whitening
scale	balancing
smoking	contaminate
foot	sprinting
cloth	clothe
eating	life
lips	licking
airplane	warfare
mortar	grinding
airplane	traveling
compact	transport
gas	burning
counter	space
friend	companionship
mug	tea
refuse	speak
ticket	inventory
toy	fun
foot	running
basketball	throw
gift	unexpected
shower	bathing
child	raising
eating	nourishment
soap	smelling
stranger	meeting
bicycle	rush
mouth	yelling
machine	refrigerate
soul	searching
text	stufying
wood	campfires
projectile	hit
flirting	fun
oar	rowing
lying	cowards
moon	eclipsing
razor	slicing
voice	communication
voice	humming
horn	entertainment
coil	snakes
creature	companionship
dancing	pleasure
lighter	ignite
painting	relaxing
sand	beaches
bookshelf	books
explosive	kill
dogma	tyrants
ice	chilling
armchair	resting
tree	climb
sky	admire
hole	entry
barbershop	shaving
cake	birthdays
jeans	fashion
level	measurement
story	entertainment
water	drown
column	vehicles
cup	hold
gas	farting
saxophone	blowing
snow	shoveling
wind	windsurfing
ball	play
caliper	measuring
gift	please
knife	notching
churchyard	headstones
knife	butter
saloon	beer
animal	petting
gun	kill
people	exploitation
rulers	measure
procreating	fun
felt	break
salsa	fun
rug	carpet
vacation	entertainment
highway	drive
garage	woodworking
bomber	launch
